DEP;DEPNOMBRE;MUN;MUNNOMBRE;ZONA;PUESTO;PUESNOMBRE;MESA;CORCODIGO;CORNOMBRE;MESAFUERATERMINOS;OBSERVACIONNOVEDADMESA;FECHALLEGADA;SUFRAGANTES;ESTADOSOBRE;TOTALVOTOSURNA;TOTALVOTOSINCINERADOS;CANTIDADFIRMAS;SUFRAGANTESSEGUNE11;TACHADURASBORRONES;OBSERVACIONTACHADURASBORRONES;RECUENTOJURADOS;RECUENTOJURADOSSOLICITADOPOR;RECUENTOSOLICITADOREPRESENTACIONPARTIDO;OBSERVACIONRECONTADA;RECONTADAAUXILIAR;RECONTADAZONAL;RECONTADAMUNICIPAL;RECONTADAGENERAL;RECONTADANACIONAL;EXCLUIDA;MODIFICADA;APELADA
21;MAGDALENA;001;SANTA MARTA;01;06;IEDJACQUELINEKENNEDYSD5MARIAEUG.;008;01;PRESIDENTE;NO;;;139;BUEN ESTADO;139;0;6;139;NO;;NO;;;;NO;NO;NO;NO;NO;NO;NO;NO;
21;MAGDALENA;001;SANTA MARTA;01;07;IEDLICDELSURVICTORDELIMASD03CTR;001;01;PRESIDENTE;NO;;;183;BUEN ESTADO;183;0;6;183;NO;;NO;;;;NO;NO;NO;NO;NO;NO;SI;NO;
21;MAGDALENA;001;SANTA MARTA;01;08;IEDNUEVOAMANECERCONDIOSSD01;001;01;PRESIDENTE;NO;;;242;BUEN ESTADO;242;0;6;242;NO;;NO;;;;NO;NO;NO;NO;NO;NO;SI;NO;
21;MAGDALENA;001;SANTA MARTA;01;08;IEDNUEVOAMANECERCONDIOSSD01;002;01;PRESIDENTE;NO;;;65;BUEN ESTADO;65;0;6;65;NO;;NO;;;;NO;NO;NO;NO;NO;NO;SI;NO;
21;MAGDALENA;001;SANTA MARTA;01;09;IEDTÉCNICAINEMSIMONBOLIVARSD02;001;01;PRESIDENTE;NO;;;310;BUEN ESTADO;306;0;6;310;NO;;NO;;;;NO;NO;NO;NO;NO;NO;SI;NO;
21;MAGDALENA;001;SANTA MARTA;01;09;IEDTÉCNICAINEMSIMONBOLIVARSD02;002;01;PRESIDENTE;NO;;;265;BUEN ESTADO;264;0;6;265;NO;;NO;;;;NO;NO;NO;NO;NO;NO;NO;NO;
21;MAGDALENA;001;SANTA MARTA;01;09;IEDTÉCNICAINEMSIMONBOLIVARSD02;003;01;PRESIDENTE;NO;;;149;BUEN ESTADO;149;0;6;149;NO;;NO;;;;NO;NO;NO;NO;NO;NO;SI;NO;
21;MAGDALENA;001;SANTA MARTA;01;10;IEDSD03ESCMIXTAONCEDENOVIEMBREN:1;001;01;PRESIDENTE;NO;;;281;BUEN ESTADO;281;0;6;281;NO;;NO;;;;NO;NO;NO;NO;NO;NO;SI;NO;
21;MAGDALENA;001;SANTA MARTA;01;10;IEDSD03ESCMIXTAONCEDENOVIEMBREN:1;002;01;PRESIDENTE;NO;;;158;BUEN ESTADO;158;0;6;158;NO;;NO;;;;NO;NO;NO;NO;NO;NO;NO;NO;
21;MAGDALENA;001;SANTA MARTA;01;10;IEDSD03ESCMIXTAONCEDENOVIEMBREN:1;003;01;PRESIDENTE;NO;;;103;BUEN ESTADO;103;0;5;103;NO;;NO;;;;NO;NO;NO;NO;NO;NO;SI;NO;
